"Kategori ","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek","Tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket","Ket"
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000019931320201010020000001","1101001135000000000000019931320201010020000001","DAIHATSU TAFT ROCKY 1993","Type : F75 Jeep Warna Putih, 2765 cc","","Daihatsu"," ROCKY Taft GT/F 70 ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 263 AH / BL 1046 JC","958927","964575","9124698-A","1.00","unit","","45,000,000.00","45,000,000.00","Pengadaan APBD","12/31/1993","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 15-10-2023"," 15-10-2023","",""
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000020021320201010020000001","1101001135000000000000020021320201010020000001","Nissan Terrano 2002","Nissan Terano F2, Warna Hitam Silver, ","","Nissan","Terrano Kingsroad F 2 ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL-1095-AR","WND21-GG4639","","1967257-A","1.00","unit","","299,900,000.00","299,900,000.00","Pengadaan APBD","12/31/2002","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000020021320201010020000002","1101001135000000000000020021320201010020000002","Land Cruiser 2002","    ","","Toyota"," Land Cruiser ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 7393 NO","JTECB01J-401026668","","","1.00","unit","","650,000,000.00","650,000,000.00","Hibah","12/31/2002","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000020091320201010020000001","1101001135000000000000020091320201010020000001","CRV 2009","    ","","Honda  ","CRV RE1 2WD 2.0 AT CKD ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL-1028-AR","MHRRE18409J900837","","9739497-A","1.00","unit","","376,000,000.00","376,000,000.00","Pengadaan APBD","12/31/2009","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahan Catatan dari DPKA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000020131320201010020000001","1101001135000000000000020131320201010020000001","Fortuner 2013","    ","","Toyota  ","Fortuner 2.7 V Automatic (TGN5) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 145 AC","MHFYX59GXD8049276","","02570519","1.00","unit","","520,210,000.00","520,210,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Penambahan Nilai sesuai revisi BAST No. 602/693/2013","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Dinas Bermotor Perorangan ","Jeep","1101001135000000000000020131320201010020000002","1101001135000000000000020131320201010020000002","Pajero Sport (4x4) 2013","    ","","Mitsubishi ","New Pajero Sport-Dakkar 2.5 HP-E (4x4) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1052 AI","MMBGYKH40ED002967","","02756507","1.00","unit","","533,900,000.00","533,900,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahan Catatan Dari DPKA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000019971320201020030000001","1101001135000000000000019971320201020030000001","Kijang Kapsul 1997","    ","","Toyota  ","Kijang Super KF 70 Short ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1056 JG","MHF11KF70-00003792","7K0118642","6233420-A","1.00","unit","","34,500,000.00","34,500,000.00","Pengadaan APBD","12/31/1997","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 18-2-2025"," 18-2-2026","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020051320201020030000001","1101001135000000000000020051320201020030000001","Mitsubisis Kuda 2005","    ","","Mitsubishi","KUDA V85W GLX/Deluxe ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1946 AU","MHMVB5WJR5K002798","4D56495563","7124943-A","1.00","unit","","80,000,000.00","80,000,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","IOM","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool","BL 1946 AU'!A1"," 7-4-2021"," 7-4-2023","Pinjam Pakai Pesantren","Pinjam Pakai Pesantren"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020051320201020030000002","1101001135000000000000020051320201020030000002"," INNOVA G 2005","    ","","Toyota  "," KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 107 AI","MHXFW426752034094","","5346423-A","1.00","unit","","179,800,000.00","179,800,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","10/BAST.K/I/2023 Tanggal 30-1- 2023","P2K","P2K","BL 107 AI'!A1","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020061320201020030000001","1101001135000000000000020061320201020030000001"," INNOVA G 2006","    ","","Toyota  ","KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1072 AN","MHFXW42G452057493","1TR6197985","8881234-A","1.00","unit","","127,227,000.00","127,227,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 6-4-2025"," 6-4-2026","",""
